epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.483,1.16482,3.94347,0,1.32499,1.14237,0.99679,0.98889,0.98707,0.80141,0.39389,0.38889,0.20303,0.03275,0.77637,4.49905,0,0.513,0.87095,0.00026,0.00026,0.00026
2,476.456,0.89032,3.50621,0,0.66677,0.98348,0.96455,0.97778,0.99266,0.80464,0.49413,0.5,0.33917,0.05183,0.76394,4.04517,0,0.56535,0.87876,0.000534654,0.000534654,0.000534654
3,688.466,0.87784,3.05018,0,0.67924,0.99952,0.91937,0.95556,0.98048,0.77735,0.65196,0.68889,0.64018,0.13439,0.84063,3.54546,0,0.87861,0.94598,0.000803764,0.000803764,0.000803764
4,904.754,1.01433,2.00233,0,0.81164,1.08126,0.72955,0.73333,0.77846,0.52083,0.70826,0.71111,0.75972,0.34265,1.04132,2.52292,0,1.57324,1.08321,0.00106733,0.00106733,0.00106733
5,1115.46,0.98753,1.84154,0,0.73875,1.04594,0.87581,0.78359,0.83335,0.55737,0.87591,0.78436,0.86423,0.46897,1.20849,2.09319,0,1.10072,1.10338,0.00132535,0.00132535,0.00132535
6,1332.2,0.9368,1.23594,0,0.7513,1.01496,0.8454,0.76667,0.8845,0.66872,0.8454,0.76667,0.8845,0.63123,0.95972,1.27694,0,2.13037,0.961,0.00157783,0.00157783,0.00157783
7,1548.52,0.8926,1.08515,0,0.69034,0.98892,0.54064,0.66694,0.62609,0.41931,0.56755,0.64444,0.65904,0.43708,1.15828,1.44199,0,5.40144,1.07937,0.00182476,0.00182476,0.00182476
8,1766.2,0.95089,0.95673,0,0.70034,1.00329,0.50049,0.76667,0.76341,0.52823,0.47011,0.67778,0.67358,0.42211,1.02515,2.01453,0,8.62521,1.05771,0.0018614,0.0018614,0.0018614
9,1977.02,0.98104,0.86222,0,0.75126,1.05255,0.84083,0.93915,0.90837,0.68366,0.80801,0.8885,0.8473,0.5378,0.92751,1.53806,0,2.46828,1.00839,0.0018416,0.0018416,0.0018416
10,2190.07,0.95363,0.81128,0,0.6627,1.02456,0.80548,0.93333,0.9161,0.70872,0.82466,0.95556,0.94968,0.73692,0.93159,1.10844,0,1.3428,1.03833,0.0018218,0.0018218,0.0018218
11,2404.27,0.92396,0.77185,0,0.66969,1.02666,0.71903,0.75556,0.81719,0.58947,0.74017,0.77778,0.84951,0.54732,0.90446,1.58171,0,1.6599,1.0331,0.001802,0.001802,0.001802
12,2628.1,0.90852,0.67998,0,0.64627,1.04157,0.86376,0.91583,0.92751,0.71714,0.76945,0.81583,0.75206,0.58776,0.85484,1.49839,0,1.96302,0.99471,0.0017822,0.0017822,0.0017822
13,2847.3,0.83227,0.56387,0,0.61809,0.99298,0.94379,0.98889,0.97559,0.76309,0.93522,0.97778,0.96521,0.85025,0.81241,0.56421,0,4.89682,0.95235,0.0017624,0.0017624,0.0017624
14,3061.75,0.83833,0.48792,0,0.62013,0.99968,0.97662,0.92815,0.98519,0.73647,0.95323,0.90593,0.95829,0.81195,0.77845,0.56886,0,4.33162,0.9425,0.0017426,0.0017426,0.0017426
15,3277.82,0.84337,0.56136,0,0.62705,0.98643,0.94173,0.89794,0.97885,0.7966,0.93008,0.88683,0.95782,0.80688,0.76433,0.4992,0,2.88417,0.96196,0.0017228,0.0017228,0.0017228
16,3490.07,0.82752,0.41445,0,0.60301,1.00106,0.98958,0.95556,0.99332,0.81582,0.98958,0.95556,0.99332,0.93164,0.73283,0.32914,0,0.92919,0.95833,0.001703,0.001703,0.001703
17,3704.91,0.86808,0.55823,0,0.59575,1.00865,0.96287,1,0.98665,0.78354,0.96287,1,0.98665,0.85914,0.7873,0.43994,0,0.81636,0.97399,0.0016832,0.0016832,0.0016832
18,3917,0.83433,0.52917,0,0.57988,0.98476,0.98808,0.9208,0.97676,0.79941,0.98808,0.9208,0.97676,0.93394,0.75323,0.28702,0,1.29397,0.93295,0.0016634,0.0016634,0.0016634
19,4130.35,0.8733,0.36858,0,0.59766,1.0166,1,0.95449,0.99037,0.78891,1,0.95449,0.99037,0.95834,0.8124,0.30087,0,1.37145,0.98535,0.0016436,0.0016436,0.0016436
20,4340.72,0.75124,0.36524,0,0.55552,0.96574,1,0.9598,0.98077,0.80737,1,0.9598,0.98077,0.9578,0.7514,0.25921,0,2.09578,0.97364,0.0016238,0.0016238,0.0016238
21,4559.07,0.9088,0.39974,0,0.59284,1.04191,0.98839,0.94586,0.98524,0.81803,0.98839,0.94586,0.98524,0.96816,0.71121,0.25256,0,0.85604,0.92984,0.001604,0.001604,0.001604
22,4772.69,0.75956,0.38591,0,0.54774,0.97164,0.99144,0.97778,0.99406,0.81974,0.99144,0.97778,0.99406,0.97359,0.75408,0.27418,0,0.71336,0.94295,0.0015842,0.0015842,0.0015842
23,4993.76,0.73836,0.39603,0,0.52205,0.94986,1,0.89162,0.97356,0.79076,1,0.89162,0.97356,0.97235,0.73286,0.20862,0,1.75081,0.97234,0.0015644,0.0015644,0.0015644
